Date,Open,High,Low,Close,Adj Close,Volume
2018-12-31,101.29000091552734,102.4000015258789,100.44000244140625,101.56999969482422,97.78716278076172,33173800
2019-01-02,99.55000305175781,101.75,98.94000244140625,101.12000274658203,97.3539047241211,35329300
2019-01-03,100.0999984741211,100.19000244140625,97.19999694824219,97.4000015258789,93.77246856689453,42579100
2019-01-04,99.72000122070312,102.51000213623047,98.93000030517578,101.93000030517578,98.13375091552734,44060600
2019-01-07,101.63999938964844,103.2699966430664,100.9800033569336,102.05999755859375,98.25890350341797,35656100
2019-01-08,103.04000091552734,103.97000122070312,101.70999908447266,102.80000305175781,98.97135162353516,31514400
2019-01-09,103.86000061035156,104.87999725341797,103.23999786376953,104.2699966430664,100.3865966796875,32280800
2019-01-10,103.22000122070312,103.75,102.37999725341797,103.5999984741211,99.74154663085938,30067600
2019-01-11,103.19000244140625,103.44000244140625,101.63999938964844,102.80000305175781,98.97135162353516,28314200
2019-01-14,101.9000015258789,102.87000274658203,101.26000213623047,102.05000305175781,98.249267578125,28437100
2019-01-15,102.51000213623047,105.05000305175781,101.87999725341797,105.01000213623047,101.0990219116211,31587600
2019-01-16,105.26000213623047,106.26000213623047,104.95999908447266,105.37999725341797,101.45524597167969,29853900
2019-01-17,105.0,106.62999725341797,104.76000213623047,106.12000274658203,102.16769409179688,28393000
2019-01-18,107.45999908447266,107.9000015258789,105.91000366210938,107.70999908447266,103.69847106933594,37427600
2019-01-22,106.75,107.0999984741211,104.86000061035156,105.68000030517578,101.74407958984375,32371300
2019-01-23,106.12000274658203,107.04000091552734,105.33999633789062,106.70999908447266,102.73571014404297,25874300
2019-01-24,106.86000061035156,107.0,105.33999633789062,106.19999694824219,102.24470520019531,23164800
2019-01-25,107.23999786376953,107.87999725341797,106.19999694824219,107.16999816894531,103.17858123779297,31225600
2019-01-28,106.26000213623047,106.4800033569336,104.66000366210938,105.08000183105469,101.16642761230469,29476700
2019-01-29,104.87999725341797,104.97000122070312,102.16999816894531,102.94000244140625,99.10612487792969,31490500
2019-01-30,104.62000274658203,106.37999725341797,104.33000183105469,106.37999725341797,102.41800689697266,49471900
2019-01-31,103.80000305175781,105.22000122070312,103.18000030517578,104.43000030517578,100.5406265258789,55636400
2019-02-01,103.77999877929688,104.0999984741211,102.3499984741211,102.77999877929688,98.95207977294922,35535700
2019-02-04,102.87000274658203,105.80000305175781,102.7699966430664,105.73999786376953,101.80184936523438,31315100
2019-02-05,106.05999755859375,107.2699966430664,105.95999908447266,107.22000122070312,103.22672271728516,27325400
